,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
120,False,/hOrHgILkp3NcuIEjozrCA4viEsL.jpg,"[18, 99, 14]",717901,es,Historia De Fantasmas,"Simon has been well know for the paranormal events he lived when he was a teenage.  While people in the town don't believe him, some other people do. And other people tries hardly to share the evidence suporting him, as other try to do the oposite; everyone is trying to answer the question of do you believe in ghosts?",1.4,/jJJJouiGuBdgZm8Ys57ay9Ewaff.jpg,2021-11-24,The Ghost Story,False,0,0
121,False,,[18],541129,ca,Personalien,"In an ambiance loaded with tension, intellectual doubts and creative frustration, Rainer Werner Fassbinder writes and teaches the staging of a theater piece about the 18th century Libertiage at a great theater in Berlín.",1.4,/n0Yfahxv6GVjIh7dUAOwoGnbAkL.jpg,2022-02-27,Personalien,False,0,0
122,False,,"[80, 28, 53]",770906,te,Salaar,Upcoming Pan India Movie directed by Prashant Neel starring Young Rebel Star Prabhas,0.657,/oBMEe5HN6cPIDEDnsuosEc5z4go.jpg,2022-04-14,Salaar,False,0,0
123,False,,[28],629103,ar,الشايب,,1.4,/g0QcnHnM3dcLAkrxEFveIK3V0pG.jpg,2022-01-01,The King,False,0,0
124,False,,[],768089,cs,Bratři,,0.884,,2022-10-27,Bratři,False,0,0
125,False,/hBDJ1qiZwmA7QJC3WdZePpYem48.jpg,"[35, 18]",756044,en,Egghead & Twinkie,"Egghead & Twinkie is a feature-length coming of age comedy about coming out of the closet. The film follows a teenage girl named Twinkie as she comes out to her parents and takes off on a cross country road trip to meet her mysterious online crush, BD. She even convinces her nerdy best friend, Egghead, to come along for the ride. The only problem? Egghead is in love with Twinkie, and BD might not be everything she seems to be on the internet. A feature film adaptation of the 2019 short.",0.666,/3GgA8xDAs65MHAtP1qnA3SNM19a.jpg,2022-01-01,Egghead & Twinkie,False,0,0
126,False,,[10402],641250,en,Untitled Universal Musical Event,Plot unknown.,0.6,,2022-03-11,Untitled Universal Musical Event,False,0,0
127,False,,[],685293,sa,Rasa Krida,"The second film in the RASA Trilogy, RASA KRIDA will offer the viewer a whole new world of sacred imagination. Unparalleled work in the history of contemporary devotional cinema, the film will depict in the most beautiful natural light Lord Krishna's playful essence. Presented in 2K, the film will become an offering to console the soul.",0.6,,2022-02-09,Rasa Krida,False,0,0
128,False,,"[10749, 35]",790525,it,Sempre più bello,,0.656,,2022-02-14,Sempre più bello,False,0,0
129,False,,"[53, 18]",766116,hi,Mayday,Upcoming film,1.145,,2022-04-29,Mayday,False,0,0
130,False,/euXNiOLYyfhGlLZpHfRycUry6gx.jpg,"[878, 14]",632995,en,The Primevals,"With The Primevals (David Allen's dream project) , David had brought together all the elements he wanted to explore in science fiction/fantasy filmmaking. In the mid-90s, Charles Band and Allen officially began production of THE PRIMEVALS. With lavish sets constructed in Romania and exotic locations like the Italian Alps, David Allen directed his pet project.  After the live action photography was completed, Allen and his crew began the exhaustive work on the intricate effects of lizard warriors, monsters, a Kong-like Yeti. Yet sadly David Allen died before all of the stop motion could be done shelving it for years. But full moon is working on finishing the stop motion and is planning a release in December of 2019 on there streaming service and three disc blu ray set.",0.903,/6Y96O3T4i2ZoCrKemYjxfnU63Iu.jpg,2022-03-01,The Primevals,False,0,0
131,False,,[27],641287,en,Untitled Blumhouse Productions Project (II),Plot unknown.,0.6,,2022-10-14,Untitled Blumhouse Productions Project (II),False,0,0
132,False,,"[27, 35]",806289,en,Life Sucks,Like Sucking,0.6,/wqT8758Q11rw97Ua3mi3sK2T4Ir.jpg,2022-10-20,Life Sucks,False,0,0
133,False,/rKEuTpWvBgix7lyHuf5AZvw3j9k.jpg,"[27, 35]",806262,en,Life Sucks,Like Sucking,0.6,/wqT8758Q11rw97Ua3mi3sK2T4Ir.jpg,2022-10-20,Life Sucks,False,0,0
134,False,,[],802662,en,Banks,A parody film that parodies the Rocky films.,0.6,,2022-07-04,Banks,False,0,0
135,False,,"[27, 35]",799177,hi,भेड़िया,Upcoming Hindi movie...,0.6,,2022-04-14,Bhediya,False,0,0
136,False,,"[14, 35]",798753,zh,超能一家人,,0.6,/337pMJRoaPAZ39ymrdIVZmgFtSg.jpg,2022-02-01,超能一家人,False,0,0
137,False,,[18],798193,en,Kaberi Antardhan,Upcoming Movie by Kaushik ganguly,0.631,,2022-07-13,Kaberi Antardhan,False,0,0
138,False,,[],797825,en,8848,The film is a biopic on Everest expedition and is inspired by Sunita Hazra's life.,0.6,,2022-01-01,8848,False,0,0
139,False,,"[27, 18, 53]",795602,en,Session,"Session is a film about a man named David, suffering from PTSD, Depression, and Dissociative Amnesia. When his therapist suggests a form of hypnotherapy to dig up what exactly is causing such stress in his life, his life and view of himself is changed forever.",0.6,/8a9Ha9Ypr5YjV75gOQ0P0Io0OCF.jpg,2022-09-16,Session,False,0,0
140,False,,[99],793160,cs,Jan Koller – Příběh obyčejného kluka,,0.6,/36oyJLCBs8rBsjsFWc89JlS5lzX.jpg,2022-02-03,Jan Koller – Příběh obyčejného kluka,False,0,0
141,False,,[],792220,hi,Vo Ladki,"Pathik, decides to move on from every memory of Devyani and goes to meet her one last time with a thought of returning the wrist watch.",0.6,,2022-02-14,That Girl,False,0,0
142,False,,[878],787189,en,GIRLIEN - DIMENSIONS GUARDIAN,Don't mess with her!,0.6,/khpHJdy9ydrz6KOiwbfjWTcLxXj.jpg,2022-08-19,GIRLIEN - DIMENSIONS GUARDIAN,False,0,0
143,False,,"[35, 18]",786705,pt,"Confissões de Uma Garota Excluída, Mal-Amada e (Um Pouco) Dramática","The story of Tetê, a young teenager who had to move from her apartment in Barra da Tijuca to her grandparents' house in Copacabana. In addition to losing privacy, Tetê lost her references and will start a new school.",0.621,,2022-12-15,"Confissões de Uma Garota Excluída, Mal-Amada e (Um Pouco) Dramática",False,0,0
144,False,,[],783830,ru,Untitled Miramax Film,,1.4,,2022-01-21,Untitled Miramax Film,False,0,0
145,False,,[],782685,ru,Untitled Nickelodeon Movies Project (2),,0.6,,2022-03-18,Untitled Nickelodeon Movies Project (2),False,0,0
146,False,,[],782242,ru,Untitled Nickelodeon Movies Project,,0.628,,2022-08-12,Untitled Nickelodeon Movies Project,False,0,0
147,False,,[],779229,sv,LasseMajas Detektivbyrå - Skorpionens gåta,,0.647,,2022-02-25,LasseMajas Detektivbyrå - Skorpionens gåta,False,0,0
148,False,,"[53, 80]",760147,pt,Silvio Santos: O Sequestro,"Just 12 hours after having his daughter in the custody of a kidnapper, the influential communicator Sílvio Santos (Rodrigo Faro) faces an even more complicated obstacle: his home is invaded and he is held hostage for seven hours. Realizing that his life is at risk, he seeks refuge in the distant thoughts of his entire trajectory, which began when he was just a 14 year old teenager working as a street vendor.",0.6,,2022-01-01,Silvio Santos: O Sequestro,False,0,0
149,False,,"[28, 53, 10749]",747767,en,Wicked Game,"An electrifying thrill-ride is unfolding with propulsive energy, unexpected twists and breathtaking action.",0.876,/qVJt9PtsruNdinnx5AgsB7AVdir.jpg,2022-09-22,Wicked Game,False,0,0
150,False,/kOFJaAct66DKkBoPLRuvtA6UH3z.jpg,[18],734253,te,Adipurush,Adipurush is a big-screen adaptation of an Indian epic that revolves around the triumph of good over evil.,0.628,/6cfJCoXl1eMGWOBu639ng3s0g8A.jpg,2022-08-11,Adipurush,False,0,0
151,False,,"[28, 16]",732408,zh,拳皇·觉醒,"Presenting the movie sequel to the CG Anime series - THE KING OF FIGHTERS: DESTINY. The story continues from where THE KING OF FIGHTERS: DESTINY left off! Many voice actors from the game series also reprise their roles! Experience the epic KOF storyline as never before with this new CG anime! Premiering in Beijing, China in Year 2022!",0.87,,2022-12-31,The King of Fighters: Awaken,False,0,0
152,False,,[],727340,ko,헌트,,0.87,/pLpVkdbTY8eRlWdrPL5CjZalwlI.jpg,2022-12-31,Hunt,False,0,0
153,False,/8e1iHXqwUhrckYOES2CeEV11x5E.jpg,"[12, 14]",725816,pt,De Volta ao Sítio do Picapau Amarelo,,1.12,/ym3rGiCx5MKhtNInhEZ11YWsTr9.jpg,2022-12-31,De Volta ao Sítio do Picapau Amarelo,False,0,0
154,False,,[35],715765,hi,बच्चन पांडे,"Remake of the 2014 film Veeram in which a kind-hearted villager takes down the enemies of his fiancee's father, to safeguard their family.",0.652,/5sZLR7yMLZdm4wBpef2fhjn4O78.jpg,2022-01-26,Bachchan Pandey,False,0,0
155,False,,[53],809194,en,Rohossomoy,upcoming thriller movie,0.6,,2022-01-21,Rohossomoy,False,0,0
