,tmdb_id,imdb_id,film,year,budget,revenue,oscar_cat,oscar_win,oscar_nominations,oscar_win_count,total_wins,total_nominations,cast_popularity,crew_popularity,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes,metascore,director,genre_id_0,genre_id_1,cast_0,cast_1,cast_2,cast_3,producer_0,producer_1,screenplay_0
1085,409,tt0116209,The English Patient,1996,27000000.0,231976425.0,Best Director,True,12,9,53,77,90.94400000000002,24.158,72,1446,74,179910,85.0,87.0,Anthony Minghella,18,10749,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas,Saul Zaentz,Paul Zaentz,Anthony Minghella
1086,275,tt0116282,Fargo,1996,7000000.0,60611975.0,Best Director,False,7,2,81,58,55.771,33.54200000000001,79,5544,81,622205,94.0,85.0,Joel Coen,80,18,Frances McDormand,William H. Macy,Steve Buscemi,Harve Presnell,Joel Coen,Ethan Coen,Joel Coen
1087,1630,tt0117318,The People vs. Larry Flynt,1996,36000000.0,20300385.0,Best Director,False,2,0,22,33,71.24799999999998,22.369,70,717,73,88706,88.0,79.0,Miloš Forman,18,,Woody Harrelson,Courtney Love,Edward Norton,Brett Harrelson,Oliver Stone,Michael Hausman,Scott Alexander
1088,11159,tt0117589,Secrets & Lies,1996,4500000.0,13417292.0,Best Director,False,5,0,36,42,75.07200000000005,7.817999999999998,75,352,80,38002,95.0,91.0,Mike Leigh,18,,Timothy Spall,Brenda Blethyn,Marianne Jean-Baptiste,Phyllis Logan,Simon Channing Williams,,
1089,7863,tt0117631,Shine,1996,5500000.0,35892330.0,Best Director,False,7,1,45,52,26.997,9.127999999999998,74,443,77,51530,91.0,87.0,Scott Hicks,18,,Geoffrey Rush,Noah Taylor,Armin Mueller-Stahl,Justin Braine,Jane Scott,,Jan Sardi
1090,409,tt0116209,The English Patient,1996,27000000.0,231976425.0,Best Picture,True,12,9,53,77,90.94400000000002,24.158,72,1446,74,179910,85.0,87.0,Anthony Minghella,18,10749,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas,Saul Zaentz,Paul Zaentz,Anthony Minghella
1091,275,tt0116282,Fargo,1996,7000000.0,60611975.0,Best Picture,False,7,2,81,58,55.771,33.54200000000001,79,5544,81,622205,94.0,85.0,Joel Coen,80,18,Frances McDormand,William H. Macy,Steve Buscemi,Harve Presnell,Joel Coen,Ethan Coen,Joel Coen
1092,9390,tt0116695,Jerry Maguire,1996,50000000.0,273552592.0,Best Picture,False,5,1,25,41,183.7149999999998,84.1519999999999,69,2229,73,244642,83.0,77.0,Cameron Crowe,35,18,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston,James L. Brooks,Laurence Mark,
1093,11159,tt0117589,Secrets & Lies,1996,4500000.0,13417292.0,Best Picture,False,5,0,36,42,75.07200000000005,7.817999999999998,75,352,80,38002,95.0,91.0,Mike Leigh,18,,Timothy Spall,Brenda Blethyn,Marianne Jean-Baptiste,Phyllis Logan,Simon Channing Williams,,
1094,7863,tt0117631,Shine,1996,5500000.0,35892330.0,Best Picture,False,7,1,45,52,26.997,9.127999999999998,74,443,77,51530,91.0,87.0,Scott Hicks,18,,Geoffrey Rush,Noah Taylor,Armin Mueller-Stahl,Justin Braine,Jane Scott,,Jan Sardi
1095,20539,tt0115988,The Crucible,1996,25000000.0,7343114.0,Best Adapted Screenplay,False,2,0,4,27,74.22499999999994,19.765000000000004,66,352,68,35503,68.0,79.88306451612904,Nicholas Hytner,18,36,Daniel Day-Lewis,Winona Ryder,Joan Allen,Paul Scofield,David V. Picker,Robert A. Miller,Arthur Miller
1096,409,tt0116209,The English Patient,1996,27000000.0,231976425.0,Best Adapted Screenplay,False,12,9,53,77,90.94400000000002,24.158,72,1446,74,179910,85.0,87.0,Anthony Minghella,18,10749,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas,Saul Zaentz,Paul Zaentz,Anthony Minghella
1097,10549,tt0116477,Hamlet,1996,17194711.416666668,89910163.27666667,Best Adapted Screenplay,False,6,0,9,21,128.118,24.646000000000008,75,317,77,36124,95.0,79.88306451612904,Kenneth Branagh,18,,Kenneth Branagh,Derek Jacobi,Julie Christie,Richard Briers,David Barron,,Kenneth Branagh
1098,12498,tt0117666,Sling Blade,1996,1000000.0,24444121.0,Best Adapted Screenplay,True,2,1,13,15,38.598000000000006,24.824000000000005,76,522,80,87602,96.0,84.0,Billy Bob Thornton,18,,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter,David L. Bushell,Brandon Rosser,Billy Bob Thornton
1099,627,tt0117951,Trainspotting,1996,4000000.0,16491080.0,Best Adapted Screenplay,False,1,0,23,34,63.68600000000002,41.45500000000004,80,7330,81,638421,91.0,83.0,Danny Boyle,18,80,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Robert Carlyle,Andrew Macdonald,,John Hodge
1100,275,tt0116282,Fargo,1996,7000000.0,60611975.0,Best Original Screenplay,True,7,2,81,58,55.771,33.54200000000001,79,5544,81,622205,94.0,85.0,Joel Coen,80,18,Frances McDormand,William H. Macy,Steve Buscemi,Harve Presnell,Joel Coen,Ethan Coen,Joel Coen
1101,9390,tt0116695,Jerry Maguire,1996,50000000.0,273552592.0,Best Original Screenplay,False,5,1,25,41,183.7149999999998,84.1519999999999,69,2229,73,244642,83.0,77.0,Cameron Crowe,35,18,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston,James L. Brooks,Laurence Mark,
1102,26748,tt0116905,Lone Star,1996,5000000.0,13269963.0,Best Original Screenplay,False,1,0,15,18,52.43600000000001,28.58800000000002,70,212,74,28117,94.0,78.0,John Sayles,18,9648,Chris Cooper,Matthew McConaughey,Elizabeth Peña,Kris Kristofferson,Maggie Renzi,R. Paul Miller,
1103,11159,tt0117589,Secrets & Lies,1996,4500000.0,13417292.0,Best Original Screenplay,False,5,0,36,42,75.07200000000005,7.817999999999998,75,352,80,38002,95.0,91.0,Mike Leigh,18,,Timothy Spall,Brenda Blethyn,Marianne Jean-Baptiste,Phyllis Logan,Simon Channing Williams,,
1104,7863,tt0117631,Shine,1996,5500000.0,35892330.0,Best Original Screenplay,False,7,1,45,52,26.997,9.127999999999998,74,443,77,51530,91.0,87.0,Scott Hicks,18,,Geoffrey Rush,Noah Taylor,Armin Mueller-Stahl,Justin Braine,Jane Scott,,Jan Sardi
