,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,oscar_win,no_oscar_wins,no_oscar_nominations,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,rotten_tomatoes_rating,metascore,total_wins,total_nominations,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
1663,194662,tt2562232,2014,2015,Birdman or (The Unexpected Virtue of Ignorance),Best Original Screenplay,"Written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo",True,4.0,9,"['Michael Keaton', 'Emma Stone', 'Zach Galifianakis', 'Edward Norton']",134.40199999999996,Alejandro González Iñárritu,"['Alejandro González Iñárritu', 'Arnon Milchan', 'James W. Skotchdopole', 'John Lesher']","['Alejandro González Iñárritu', 'Armando Bo', 'Nicolás Giacobone', 'Alexander Dinelaris']",111.9209999999997,18000000.0,103215094.0,120,75,10384,77,587068,91.0,87.0,188,291,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1664,85350,tt1065073,2014,2015,Boyhood,Best Original Screenplay,Written by Richard Linklater,False,1.0,6,"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke', 'Lorelei Linklater']",78.46499999999997,Richard Linklater,"['Richard Linklater', 'John Sloss', 'Jonathan Sehring', 'Cathleen Sutherland']",[],25.29700000000001,4000000.0,44349000.0,165,75,4061,79,337971,97.0,100.0,172,218,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1665,87492,tt1100089,2014,2015,Foxcatcher,Best Original Screenplay,Written by E. Max Frye and Dan Futterman,False,0.0,5,"['Steve Carell', 'Channing Tatum', 'Mark Ruffalo', 'Sienna Miller']",88.47499999999987,Bennett Miller,"['Anthony Bregman', 'Jon Kilik', 'Bennett Miller', 'Megan Ellison']",[],60.13300000000004,24000000.0,12096300.0,134,67,1803,70,135255,87.0,81.0,13,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1666,120467,tt2278388,2014,2015,The Grand Budapest Hotel,Best Original Screenplay,Screenplay by Wes Anderson; Story by Wes Anderson & Hugo Guinness,False,4.0,9,"['Ralph Fiennes', 'F. Murray Abraham', 'Tony Revolori', 'Mathieu Amalric']",236.88599999999968,Wes Anderson,"['Scott Rudin', 'Wes Anderson', 'Jeremy Dawson', 'Steven M. Rales']",['Wes Anderson'],74.44599999999997,30000000.0,174600318.0,100,80,10998,81,717045,92.0,88.0,130,226,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1667,242582,tt2872718,2014,2015,Nightcrawler,Best Original Screenplay,Written by Dan Gilroy,False,0.0,1,"['Jake Gyllenhaal', 'Rene Russo', 'Riz Ahmed', 'Bill Paxton']",100.1819999999999,Dan Gilroy,"['Jake Gyllenhaal', 'Jennifer Fox', 'Tony Gilroy', 'David Lancaster', 'Michel Litvak']",[],137.26799999999972,8500000.0,50300000.0,118,77,7984,78,475905,95.0,76.0,42,123,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
1668,294016,tt3203606,2015,2016,Trumbo,Best Actor,Bryan Cranston,False,0.0,1,"['Bryan Cranston', 'Diane Lane', 'Helen Mirren', 'Elle Fanning']",147.4669999999999,Jay Roach,"['Monica Levinson', 'Michael London', 'Janice Williams', 'John McNamara', 'Kevin Kelly Brown', 'Nimitt Mankad', 'Shivani Rawat']",['John McNamara'],18.518000000000004,15000000.0,8235661.0,124,72,1188,75,77315,74.0,60.0,8,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1669,286217,tt3659388,2015,2016,The Martian,Best Actor,Matt Damon,False,0.0,7,"['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Jeff Daniels']",205.99399999999986,Ridley Scott,"['Ridley Scott', 'Mark Huffam', 'Simon Kinberg', 'Michael Schaefer']",['Drew Goddard'],507.31400000000707,108000000.0,630161890.0,144,77,15542,80,771051,91.0,80.0,38,192,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1670,281957,tt1663202,2015,2016,The Revenant,Best Actor,Leonardo DiCaprio,True,3.0,12,"['Leonardo DiCaprio', 'Tom Hardy', 'Domhnall Gleeson', 'Will Poulter']",141.80399999999975,Alejandro González Iñárritu,"['Steve Golin', 'Alejandro González Iñárritu', 'Arnon Milchan', 'James W. Skotchdopole', 'Keith Redmon', 'Mary Parent']","['Alejandro González Iñárritu', 'Mark L. Smith']",180.0619999999993,135000000.0,532950503.0,157,75,14458,80,713543,78.0,76.0,87,187,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1671,321697,tt2080374,2015,2016,Steve Jobs,Best Actor,Michael Fassbender,False,0.0,2,"['Michael Fassbender', 'Kate Winslet', 'Seth Rogen', 'Jeff Daniels']",109.7639999999998,Danny Boyle,"['Danny Boyle', 'Scott Rudin', 'Mark Gordon', 'Guymon Casady', 'Christian Colson']",[],95.46399999999979,30000000.0,34441873.0,122,68,3312,72,156825,85.0,82.0,28,112,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1672,306819,tt0810819,2015,2016,The Danish Girl,Best Actor,Eddie Redmayne,False,1.0,4,"['Eddie Redmayne', 'Alicia Vikander', 'Matthias Schoenaerts', 'Ben Whishaw']",97.02899999999994,Tom Hooper,"['Tim Bevan', 'Eric Fellner', 'Gail Mutrux', 'Tom Hooper', 'Anne Harrison']",['Lucinda Coxon'],26.88900000000001,15000000.0,64191523.0,119,76,4833,71,166554,66.0,66.0,30,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1673,258480,tt2402927,2015,2016,Carol,Best Actress,Cate Blanchett,False,0.0,6,"['Rooney Mara', 'Cate Blanchett', 'Kyle Chandler', 'Sarah Paulson']",74.97199999999995,Todd Haynes,"['Tessa Ross', 'Christine Vachon', 'Stephen Woolley', 'Elizabeth Karlsen']",['Phyllis Nagy'],74.44099999999997,11162705.538461538,40272135.0,118,75,2798,72,117651,94.0,94.0,77,247,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1674,264644,tt3170832,2015,2016,Room,Best Actress,Brie Larson,True,1.0,4,"['Brie Larson', 'Jacob Tremblay', 'Joan Allen', 'William H. Macy']",83.53999999999998,Lenny Abrahamson,"['Ed Guiney', 'David Gross']",['Emma Donoghue'],31.75200000000001,13000000.0,35401758.0,118,81,7280,81,376634,93.0,86.0,104,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1675,274479,tt2446980,2015,2016,Joy,Best Actress,Jennifer Lawrence,False,0.0,1,"['Jennifer Lawrence', 'Bradley Cooper', 'Robert De Niro', 'Dascha Polanco']",145.07099999999986,David O. Russell,"['John Davis', 'Jonathan Gordon', 'David O. Russell', 'Ken Mok', 'Megan Ellison']",['David O. Russell'],80.99499999999992,60000000.0,101134059.0,124,65,3362,66,129476,60.0,56.0,8,22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1676,311291,tt3544082,2015,2016,45 Years,Best Actress,Charlotte Rampling,False,0.0,1,"['Charlotte Rampling', 'Tom Courtenay', 'Geraldine James', 'Dolly Wells']",25.97000000000001,Andrew Haigh,['Tristan Goligher'],[],20.245000000000005,11162705.538461538,4250507.0,95,66,554,71,31315,97.0,94.0,22,60,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1677,167073,tt2381111,2015,2016,Brooklyn,Best Actress,Saoirse Ronan,False,0.0,3,"['Saoirse Ronan', 'Domhnall Gleeson', 'Emory Cohen', 'Jim Broadbent']",97.34399999999997,John Crowley,"['Amanda Posey', 'Finola Dwyer']",['Nick Hornby'],62.957000000000065,11000000.0,62076141.0,111,73,2504,75,132479,97.0,88.0,38,157,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1678,318846,tt1596363,2015,2016,The Big Short,Best Director,Adam McKay,False,1.0,5,"['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'Brad Pitt']",247.9299999999998,Adam McKay,"['Brad Pitt', 'Arnon Milchan', 'Dede Gardner', 'Jeremy Kleiner']","['Adam McKay', 'Charles Randolph']",173.05899999999932,28000000.0,133346506.0,131,73,6602,78,373271,88.0,81.0,36,81,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1679,76341,tt1392190,2015,2016,Mad Max: Fury Road,Best Director,George Miller,False,6.0,10,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne']",148.51699999999985,George Miller,"['George Miller', 'Doug Mitchell', 'P.J. Voeten']",[],109.57999999999979,150000000.0,378858340.0,121,75,17896,81,895036,97.0,90.0,239,231,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
