,year_film,nominee,oscar_category,index,oscar_win,film,movie_id,genre_id,vote_average,budget,revenue,release_date,runtime
234,1995,Kevin Spacey,Best Supporting Actor,7446,True,The Usual Suspects,629,"[18, 80, 53]",8.2,6000000.0,23341568.0,1995-07-19,106.0
235,1995,Susan Sarandon,Best Actress,7447,True,Dead Man Walking,687,[18],7.4,11000000.0,39363635.0,1995-12-29,122.0
236,1995,Elisabeth Shue,Best Actress,7448,False,Leaving Las Vegas,451,"[18, 10749]",7.3,3600000.0,49800000.0,1995-10-27,111.0
237,1995,Sharon Stone,Best Actress,7449,False,Casino,524,"[80, 18]",8.0,52000000.0,116112375.0,1995-11-22,179.0
238,1995,Meryl Streep,Best Actress,7450,False,The Bridges of Madison County,688,"[18, 10749]",7.7,24000000.0,182016617.0,1995-05-28,135.0
239,1995,Emma Thompson,Best Actress,7451,False,Sense and Sensibility,4584,"[18, 10749]",7.5,16000000.0,134582776.0,1995-12-13,136.0
240,1995,Joan Allen,Best Supporting Actress,7452,False,Nixon,10858,"[36, 18]",6.8,44000000.0,13681765.0,1995-12-22,192.0
241,1995,Kathleen Quinlan,Best Supporting Actress,7453,False,Apollo 13,568,"[18, 36]",7.4,52000000.0,355237933.0,1995-06-30,140.0
242,1995,Mira Sorvino,Best Supporting Actress,7454,True,Mighty Aphrodite,11448,"[35, 10749]",6.8,15000000.0,6700000.0,1995-09-13,95.0
243,1995,Mare Winningham,Best Supporting Actress,7455,False,Georgia,97406,[18],6.2,0.0,0.0,1995-05-19,115.0
244,1995,Kate Winslet,Best Supporting Actress,7456,False,Sense and Sensibility,4584,"[18, 10749]",7.5,16000000.0,134582776.0,1995-12-13,136.0
245,1995,Stephen Goldblatt,Best Cinematography,7462,False,Batman Forever,414,"[28, 80, 14]",5.4,100000000.0,336529144.0,1995-06-16,121.0
246,1995,John Toll,Best Cinematography,7463,True,Braveheart,197,"[28, 18, 36, 10752]",7.9,72000000.0,210000000.0,1995-05-24,178.0
247,1995,Emmanuel Lubezki,Best Cinematography,7464,False,A Little Princess,19101,"[18, 10751, 14]",7.6,17000000.0,0.0,1995-05-10,97.0
248,1995,Michael Coulter,Best Cinematography,7465,False,Sense and Sensibility,4584,"[18, 10749]",7.5,16000000.0,134582776.0,1995-12-13,136.0
249,1995,Lu Yue,Best Cinematography,7466,False,Shanghai Triad,37557,"[18, 80]",6.8,2300000.0,0.0,1995-09-14,108.0
250,1995,Chris Noonan,Best Director,7472,False,Babe,9598,"[14, 18, 35, 10751]",6.1,30000000.0,254134910.0,1995-07-18,91.0
251,1995,Mel Gibson,Best Director,7473,True,Braveheart,197,"[28, 18, 36, 10752]",7.9,72000000.0,210000000.0,1995-05-24,178.0
252,1995,Tim Robbins,Best Director,7474,False,Dead Man Walking,687,[18],7.4,11000000.0,39363635.0,1995-12-29,122.0
253,1995,Mike Figgis,Best Director,7475,False,Leaving Las Vegas,451,"[18, 10749]",7.3,3600000.0,49800000.0,1995-10-27,111.0
254,1995,Michael Radford,Best Director,7476,False,The Postman ,11010,"[35, 18, 10749]",8.0,0.0,0.0,1994-04-07,108.0
255,1995,"Mike Hill, Dan Hanley",Best Film Editing,7487,True,Apollo 13,568,"[18, 36]",7.4,52000000.0,355237933.0,1995-06-30,140.0
256,1995,"Marcus D'Arcy, Jay Friedkin",Best Film Editing,7488,False,Babe,9598,"[14, 18, 35, 10751]",6.1,30000000.0,254134910.0,1995-07-18,91.0
257,1995,Steven Rosenblum,Best Film Editing,7489,False,Braveheart,197,"[28, 18, 36, 10752]",7.9,72000000.0,210000000.0,1995-05-24,178.0
258,1995,Chris Lebenzon,Best Film Editing,7490,False,Crimson Tide,8963,"[10752, 53, 28, 18]",7.2,53000000.0,157387195.0,1995-05-12,116.0
259,1995,Richard Francis-Bruce,Best Film Editing,7491,False,Seven,0,,,,,,
260,1995,"Brian Grazer, Producer",Best Pictre,7515,False,Apollo 13,568,"[18, 36]",7.4,52000000.0,355237933.0,1995-06-30,140.0
261,1995,"George Miller, Doug Mitchell and Bill Miller, Producers",Best Pictre,7516,False,Babe,9598,"[14, 18, 35, 10751]",6.1,30000000.0,254134910.0,1995-07-18,91.0
262,1995,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",Best Pictre,7517,True,Braveheart,197,"[28, 18, 36, 10752]",7.9,72000000.0,210000000.0,1995-05-24,178.0
263,1995,"Mario Cecchi Gori, Vittorio Cecchi Gori and Gaetano Daniele, Producers",Best Pictre,7518,False,The Postman ,11010,"[35, 18, 10749]",8.0,0.0,0.0,1994-04-07,108.0
264,1995,"Lindsay Doran, Producer",Best Pictre,7519,False,Sense and Sensibility,4584,"[18, 10749]",7.5,16000000.0,134582776.0,1995-12-13,136.0
265,1996,Tom Cruise,Best Actor,7553,False,Jerry Maguire,9390,"[35, 18, 10749]",6.9,50000000.0,273552592.0,1996-12-13,138.0
266,1996,Ralph Fiennes,Best Actor,7554,False,The English Patient,409,"[18, 10749, 10752]",7.2,27000000.0,231976425.0,1996-11-05,162.0
267,1996,Woody Harrelson,Best Actor,7555,False,The People vs. Larry Flynt,1630,[18],7.0,36000000.0,20300385.0,1996-12-25,130.0
268,1996,Geoffrey Rush,Best Actor,7556,True,Shine,7863,[18],7.4,5500000.0,35892330.0,1996-08-15,105.0
269,1996,Billy Bob Thornton,Best Actor,7557,False,Sling Blade,12498,[18],7.6,1000000.0,24444121.0,1996-08-30,135.0
270,1996,"Cuba Gooding, Jr.",Best Supporting Actor,7558,True,Jerry Maguire,9390,"[35, 18, 10749]",6.9,50000000.0,273552592.0,1996-12-13,138.0
271,1996,William H. Macy,Best Supporting Actor,7559,False,Fargo,275,"[80, 18, 53]",7.9,7000000.0,60611975.0,1996-03-08,98.0
272,1996,Armin Mueller-Stahl,Best Supporting Actor,7560,False,Shine,7863,[18],7.4,5500000.0,35892330.0,1996-08-15,105.0
273,1996,Edward Norton,Best Supporting Actor,7561,False,Primal Fear,1592,"[80, 18, 9648, 53]",7.7,30000000.0,102616183.0,1996-03-06,129.0
274,1996,James Woods,Best Supporting Actor,7562,False,Ghosts of Mississippi,31908,[18],6.4,36000000.0,13323144.0,1996-12-20,130.0
275,1996,Brenda Blethyn,Best Actress,7563,False,Secrets & Lies,11159,[18],7.5,4500000.0,13417292.0,1996-05-24,142.0
276,1996,Diane Keaton,Best Actress,7564,False,Marvin's Room,9819,[18],6.7,23000000.0,12803305.0,1996-12-18,98.0
277,1996,Frances McDormand,Best Actress,7565,True,Fargo,275,"[80, 18, 53]",7.9,7000000.0,60611975.0,1996-03-08,98.0
278,1996,Kristin Scott Thomas,Best Actress,7566,False,The English Patient,409,"[18, 10749, 10752]",7.2,27000000.0,231976425.0,1996-11-05,162.0
279,1996,Emily Watson,Best Actress,7567,False,Breaking the Waves,145,"[18, 10749]",7.5,0.0,3803298.0,1996-05-13,159.0
280,1996,Joan Allen,Best Supporting Actress,7568,False,The Crucible,20539,"[18, 36]",6.6,25000000.0,7343114.0,1996-11-27,124.0
281,1996,Lauren Bacall,Best Supporting Actress,7569,False,The Mirror Has Two Faces,25189,"[35, 18, 10749]",6.7,42000000.0,0.0,1996-11-15,126.0
282,1996,Juliette Binoche,Best Supporting Actress,7570,True,The English Patient,409,"[18, 10749, 10752]",7.2,27000000.0,231976425.0,1996-11-05,162.0
283,1996,Barbara Hershey,Best Supporting Actress,7571,False,The Portrait of a Lady,36758,"[18, 10749]",6.0,0.0,3692836.0,1996-10-17,144.0
