,tmdb_id,imdb_id,film,year,nomination_count,oscar_cat,oscar_win,casts_popularity,crew_popularity,tmdb_vote_average,tmdb_vote_count,director,genre_id_0,genre_id_1,starring_0,starring_1,starring_2,starring_3,producer_0,producer_1,screenplay_0
1463,10139,tt1013753,Milk,2008,8,Best Original Screenplay,True,80.58999999999997,39.739000000000026,7.3,1565,Gus Van Sant,36,18,Sean Penn,Emile Hirsch,Josh Brolin,Diego Luna,Bruce Cohen,Dan Jinks,
1464,10681,tt0910970,WALL-E,2008,6,Best Original Screenplay,False,85.10399999999998,216.06799999999942,8.0,14179,Andrew Stanton,16,10751,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,Jim Morris,Lindsey Collins,Andrew Stanton
1465,25196,tt1263670,Crazy Heart,2009,3,Best Actor,True,53.871000000000016,26.921000000000014,6.9,681,Scott Cooper,18,10402,Jeff Bridges,Colin Farrell,Maggie Gyllenhaal,Robert Duvall,Robert Duvall,T Bone Burnett,Scott Cooper
1466,22947,tt1193138,Up in the Air,2009,6,Best Actor,False,90.86799999999998,35.41900000000001,6.8,2676,Jason Reitman,18,10749,George Clooney,Vera Farmiga,Anna Kendrick,Sam Elliott,Ivan Reitman,Jason Reitman,Jason Reitman
1467,34653,tt1315981,A Single Man,2009,1,Best Actor,False,74.859,40.72700000000003,7.4,1142,Tom Ford,10749,18,Colin Firth,Julianne Moore,Nicholas Hoult,Matthew Goode,Chris Weitz,Robert Salerno,Tom Ford
1468,22954,tt1057500,Invictus,2009,2,Best Actor,False,82.98799999999996,78.76699999999998,7.2,3078,Clint Eastwood,18,36,Morgan Freeman,Matt Damon,Tony Kgoroge,Patrick Mofokeng,Clint Eastwood,Mace Neufeld,Anthony Peckham
1469,12162,tt0887912,The Hurt Locker,2009,9,Best Actor,False,115.15,80.49499999999993,7.3,4129,Kathryn Bigelow,18,53,Jeremy Renner,Anthony Mackie,Brian Geraghty,David Morse,Kathryn Bigelow,Greg Shapiro,Mark Boal
1470,22881,tt0878804,The Blind Side,2009,2,Best Actress,True,104.53899999999987,38.16300000000001,7.6,4345,John Lee Hancock,18,,Sandra Bullock,Tim McGraw,Quinton Aaron,Jae Head,Gil Netter,Broderick Johnson,
1471,36811,tt0824758,The Last Station,2009,2,Best Actress,False,50.521,13.492,6.4,139,Michael Hoffman,18,10749,Helen Mirren,Christopher Plummer,James McAvoy,Anne-Marie Duff,Bonnie Arnold,Jens Meurer,Michael Hoffman
1472,24684,tt1174732,An Education,2009,3,Best Actress,False,85.4699999999999,28.62700000000002,6.9,960,Lone Scherfig,18,10749,Carey Mulligan,Peter Sarsgaard,Dominic Cooper,Rosamund Pike,Amanda Posey,Finola Dwyer,Nick Hornby
