,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
3285,False,/r0r8Trs75SpUULcX7SawdbO4nMz.jpg,"[18, 35, 36]",798644,ru,Мундир космонавта,"Mockumentary experimental film, which shows one day in the life of a young man. The action takes place on the Day of Soviet Cosmonautics, April 12, one of the last years of the USSR. Outside the window, it is gradually getting warmer, the onset of spring is felt, promising hope for the possibility of changes in the country. The hero of the film is fond of space. The young man, who idolizes Gagarin, is engaged in reconstruction, making the uniform in which the cosmonaut walked in the prime of his glory. Our hero is also a film enthusiast. He makes films with stories of space flights and shows them to his friends. The film is stylized as amateur films of the 1980s and was shot on a 16-mm color film made by the company"" Svema"", made in the Soviet Union. The quality of this film allows the viewer to fully immerse themselves in the atmosphere of the time of the film, which is dedicated to Soviet cosmonautics and Edward D. Wood Jr.",2.94,/l3f3TUlBIfOY7mvJ5dYL5Hf916h.jpg,2021-03-11,Astronaut's Uniform,False,0.0,0
3286,False,,[],803074,fr,Un souvenir d’archives,"Archivist and researcher Isabelle Ullern investigates the official archives of philosopher Sarah Kofman. “I become her ventriloquist”, she says. Digging into the archives, she brings back the memories of Sarah, who committed suicide in October 1994 — her works as a philosopher and her past as a hidden child of the Holocaust… For the duration of the film, Isabelle embodies Sarah.",2.499,/y6hNyrSfW926qiMuRz0FVXCnpKg.jpg,2021-03-13,Un souvenir d’archives,False,0.0,0
3287,False,/25qqJSQ1O6hVuIjtRSIkpKJhMU1.jpg,"[10770, 18, 10749]",802500,pt,O Sítio da Mulher Morta,"He has everything that the destiny wanted and that he has been able to expand: fertile lands as far as the eye can see, cattle, exceptional wines and cigars matured in the long voyages of the boats coming directly from the Caribbean, more precisely from Cuba. He enjoys all this in his rich rural house, with his wife and two children, whom he very much likes, but which sometimes interrupt him to enjoy these pleasures. The disenchantment of the passionate routine always reminds him of the fabled memories of a moment in the past when, unexpectedly, he discovered in a handmaiden the surprising elevation of passion.  Until the harlot appears to her at the Estate, untouched by the past fifteen years, purer than before and, even in her eyes, rejuvenated. But married, to a dangerous man.",2.36,/4cpgmrfxPDYKXJKTQPD0i3DA9y7.jpg,2021-03-12,O Sítio da Mulher Morta,False,7.0,1
3288,False,/pnSV9llEnYvZxCWReYzPb7cU3wB.jpg,"[18, 10770]",795102,fr,Intraitable,,3.446,/xv4Y2rYxDHAS2mLOJpDKaGCpMh3.jpg,2021-03-01,Intraitable,False,6.6,7
3289,False,,[10749],793709,fr,Love Bug,"Guillaume, a computer scientist in his thirties, has never managed to overcome his pathological shyness with girls. In desperation, he consults a seduction coach, but the course turns out to be a scam. Humiliated one too many times, Guillaume goes behind his computer screen to take revenge.",1.968,/8HLX6hqOP84TlAIJq54O6oiAoTQ.jpg,2021-03-09,Love Bug,False,0.0,0
3290,False,,[35],16014,da,Sprængfarlig bombe,"Tony has recently been released from a sentence for violent behaviour. He promises to improve his ways and is finally granted a few hours alone with his two children. They celebrate the reunion by going to the movies to see a new film by the famous, critically acclaimed Danish director Claus Volter. But the film is not the masterpiece it is said to be on the poster; the children are crying and Tony cannot get the money back he spent on tickets and candy. Tony does not give up; he seeks out Claus Volter in order to get an explanation and a refund. It is however easier said than done to get money out of a world-renowned filmmaker.",2.58,/qIbIhPx8MOfJhFGAYo1HURabvbV.jpg,2006-08-25,Clash of Egos,False,5.6,23
3291,False,,[18],798751,zh,我的姐姐,,3.616,/tJTyclXSTTyng9WsxWodqK65NgG.jpg,2021-04-02,Sister,False,0.0,0
3292,False,,[18],794313,es,Aburo,"David dreams of becoming a ballet dancer, while his twin brother Alexis plans to rob a restaurant. The brothers' inability to relate to each other has brought them to the brink of a domestic war that erupts in a fight the night before David's auditions. Their diverging paths will make them meet again in the middle of Havana.",3.246,/6tUqFCEs4VoGygkUdDlRFkoSIt0.jpg,2021-03-13,Aburo,False,0.0,0
3293,False,/2hiODkNnTrJ8vipY15YuFGQnIMM.jpg,[18],717395,zh,無聲,"Hearing-impaired teenager Chang Cheng transfers to a school for children with special needs. However, the world of the hearing-impaired doesn’t seem quiet at all. When Chang witnesses the “game” taking place in the last row on the school bus, his excitement about blending into a new environment immediately turns into fear. Seeing Bei Bei, the girl he has a crush on, getting hurt so badly, Xiao Guang, the ringleader, behaving like a king and other schoolmates acting innocent, Chang debates with himself on whether he should reveal the cruel truth about the game or whether he should join in. As the divide between the perpetrators and the victim begins to blur, confusion and anxiety grow among everyone in school.",2.313,/AqvwB1HXuhi00UTMz14zUngXntW.jpg,2020-10-15,The Silent Forest,False,8.5,2
3294,False,/45HcuzGxiJT87TCZ3OTer8xHVkt.jpg,[99],803196,fr,"La nouvelle puissance indienne, le monde selon Modi",,2.216,/r4qwvrkcevT8LckCk81tiACGcdd.jpg,2021-03-09,"La nouvelle puissance indienne, le monde selon Modi",False,0.0,0
3295,False,,[53],806850,en,Flyover,"A gripping thriller, Flyover is the story of Bidisha, a journalist who is working around a report on traffic rule violations. One night, she gets arrested for murder which leads to a gripping saga of investigation.",3.019,/3TX3Z2yezxQ5O2tukRqXETC5Kqd.jpg,2021-04-02,Flyover,False,0.0,0
3296,False,,[99],794759,en,Last Days at Sea,"Reyboy's world is the sparkling ocean, the hidden treasures on the long coast, the taste of honey rice. The filmmaker accompanies the Filipino boy in his fishing village by the sea as his life is about to change forever.",2.628,/tJbx1OJRbKXfdJsLokw1NBCnkHG.jpg,2021-06-09,Last Days at Sea,False,0.0,0
3297,False,/5ovfCGO879sqXsJYLKPFl6Mj8C5.jpg,[28],791137,zh,少林寺之得宝传奇,"Ximen Debao is an innkeeper without big ambitions. In order to attract business, he instructs his younger brother Tu Hao and his friends to pose as robbers and rob passers-by, and at critical moments he assists them by posing as a saviour and crime-fighter, and then guides the customers into the shop. The good times don't last long, as Tak Po's scam is exposed by a mysterious monk who finds it difficult to continue. In the meantime, the assassin of Lingzhou, He Snap, kills the imperial envoy in order to seize the treasure map hidden in the inn, and frames Debao for the crime. Overnight, Debao becomes a wanted criminal and his son, Yau Fei, dies. In order to take revenge, Debao begins to train with a monk.",3.394,/o9NZ1es9P9lfN7AL3mCHqd5PSas.jpg,2021-02-12,Rising Shaolin: The Protector,False,7.0,1
3298,False,,"[27, 35]",708808,en,Witness Infection,"Two rival mob families are transferred from the Witness Protection Agency by mistake to same city, Temecula, CA, and find themselves fending off a zombie outbreak.",3.595,/urLR4UQ2QSgE8fQGw0mUTqW3awH.jpg,2020-12-20,Witness Infection,False,0.0,0
3299,False,/71GhXVU41VKKQPTu8ReRqk3nvVy.jpg,"[16, 10751, 12]",764807,fr,Félix et le trésor de Morgäa,"Convinced that his father, who had disappeared at sea two years earlier, is still alive, 12-year-old Felix sets out to find him in the company of old Tom, a retired sailor.",1.756,/iVzuYTO7iQbOf1wd574abcjQ0ni.jpg,2021-02-21,Felix and the Treasure of Morgäa,False,0.0,0
3300,False,/vR0Vgdb6ZIwsn9P10L5FODDEi0l.jpg,"[53, 28, 10749]",536425,ta,தீதும் நன்றும்,"Three friends, who earn money illegally through burglary, decide to bid farewell to crimes. But fate had other plans for them.",2.077,/trqUMuk29dYxhEeujBe58rNOOkN.jpg,2021-03-12,Theedhum Nandrum,False,0.0,0
3301,False,/tLI6DFUsBZpx0qLBU9jCz0xorct.jpg,"[80, 18, 36]",39175,fr,Docteur Petiot,"A true story shot in a German Impressionistic style. In France during the Nazi occupation, Dr. Petiot (Michel Serrault) offered to help Jews escape the Nazis. They would come to his house, and he would kindly give them lethal ""vaccinations"" for their anticipated travel to Argentina. Then he would steal everything the brought with them (in addition to their up-front payment to him) and burn their bodies in his home-made crematorium.",3.055,/svwL5FYA1r0QM2jS2puk1BmZsLN.jpg,1990-09-19,Dr. Petiot,False,6.9,14
