,tmdb_id,imdb_id,year_film,year_ceremony,film,oscar_category,nominee,no_oscar_nominations,oscar_win,genre_id,staring_casts,casts_popularity,director,producers,screenplay,crew_popularity,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count
55,40894,tt0055100,1961,1962,Lover Come Back,Best Original Screenplay,"Stanley Shapiro, Paul Henning",1,False,"[35, 18, 10749]","['Rock Hudson', 'Doris Day', 'Tony Randall', 'Edie Adams']",26.438000000000002,Delbert Mann,"['Stanley Shapiro', 'Martin Melcher']","['Stanley Shapiro', 'Paul Henning']",10.562,0,16937969,107,7.0,79
56,28569,tt0055471,1961,1962,Splendor in the Grass,Best Original Screenplay,William Inge,2,True,"[18, 10749]","['Natalie Wood', 'Warren Beatty', 'Pat Hingle', 'Audrey Christie']",24.352999999999994,Elia Kazan,"['Elia Kazan', 'Charles H. Maguire', 'William Inge']",[],15.604,0,0,124,7.6,151
57,13671,tt0056262,1962,1963,The Music Man,Best Actor,Burt Lancaster,7,False,"[35, 10751, 10402, 10749]","['Robert Preston', 'Shirley Jones', 'Buddy Hackett', 'Ron Howard']",37.463,Morton DaCosta,['Morton DaCosta'],['Marion Hargrove'],12.855999999999998,0,8000000,151,7.1,113
58,32488,tt0055895,1962,1963,Days of Wine and Roses,Best Actor,Jack Lemmon,5,False,"[18, 10749]","['Jack Lemmon', 'Lee Remick', 'Charles Bickford', 'Jack Klugman']",56.17800000000001,Blake Edwards,['Martin Manulis'],[],14.023999999999996,0,0,117,7.6,103
59,20271,tt0055913,1961,1963,Divorce--Italian Style,Best Actor,Marcello Mastroianni,3,False,[35],"['Marcello Mastroianni', 'Daniela Rocca', 'Stefania Sandrelli', 'Lando Buzzanca']",22.931000000000015,Pietro Germi,['Franco Cristaldi'],[],11.472999999999999,0,0,104,8.0,261
60,947,tt0056172,1962,1963,Lawrence of Arabia,Best Actor,Peter O'Toole,10,False,"[10752, 36, 12, 18]","[""Peter O'Toole"", 'Omar Sharif', 'Alec Guinness', 'Jack Hawkins']",75.50999999999998,David Lean,"['Sam Spiegel', 'Robert A. Harris']","['Michael Wilson', 'Robert Bolt']",35.10600000000004,15000000,69995385,227,8.0,1994
61,595,tt0056592,1962,1963,To Kill a Mockingbird,Best Actor,Gregory Peck,8,True,"[18, 80]","['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy']",82.25199999999998,Robert Mulligan,"['Alan J. Pakula', 'Robert Mulligan', 'Harper Lee', 'Gregory Peck']",['Horton Foote'],34.04900000000002,2000000,13129846,129,8.0,1809
62,1162,tt0056241,1962,1963,The Miracle Worker,Best Actress,Anne Bancroft,5,True,[18],"['Anne Bancroft', 'Patty Duke', 'Victor Jory', 'Inga Swenson']",20.889000000000003,Arthur Penn,['Fred Coe'],['William Gibson'],25.793000000000013,500000,2500000,106,7.8,176
63,10242,tt0056687,1962,1963,What Ever Happened to Baby Jane?,Best Actress,Bette Davis,5,False,"[18, 27, 53]","['Bette Davis', 'Joan Crawford', 'Victor Buono', 'Wesley Addy']",42.35400000000002,Robert Aldrich,['Robert Aldrich'],['Lukas Heller'],39.98600000000004,980000,0,135,8.0,655
64,43004,tt0056196,1962,1963,Long Day's Journey into Night,Best Actress,Katharine Hepburn,1,False,"[18, 36]","['Katharine Hepburn', 'Ralph Richardson', 'Jason Robards', 'Dean Stockwell']",13.749,Sidney Lumet,['Ely A. Landau'],[],12.673999999999996,500000,0,174,6.8,37
65,33632,tt0056541,1962,1963,Sweet Bird of Youth,Best Actress,Geraldine Page,3,False,"[18, 10749]","['Paul Newman', 'Geraldine Page', 'Shirley Knight', 'Ed Begley']",37.667,Richard Brooks,['Pandro S. Berman'],['Richard Brooks'],18.336000000000006,0,0,120,6.9,68
66,32488,tt0055895,1962,1963,Days of Wine and Roses,Best Actress,Lee Remick,5,False,"[18, 10749]","['Jack Lemmon', 'Lee Remick', 'Charles Bickford', 'Jack Klugman']",56.17800000000001,Blake Edwards,['Martin Manulis'],[],14.023999999999996,0,0,117,7.6,103
67,109667,tt0055892,1962,1963,David and Lisa,Best Director,Frank Perry,2,False,"[10749, 18]","['Keir Dullea', 'Janet Margolin', 'Howard Da Silva', 'Neva Patterson']",15.586999999999996,Frank Perry,['Paul M. Heller'],['Eleanor Perry'],11.415999999999997,185000,0,95,7.7,28
68,20271,tt0055913,1961,1963,Divorce--Italian Style,Best Director,Pietro Germi,3,False,[35],"['Marcello Mastroianni', 'Daniela Rocca', 'Stefania Sandrelli', 'Lando Buzzanca']",22.931000000000015,Pietro Germi,['Franco Cristaldi'],[],11.472999999999999,0,0,104,8.0,261
69,947,tt0056172,1962,1963,Lawrence of Arabia,Best Director,David Lean,10,True,"[10752, 36, 12, 18]","[""Peter O'Toole"", 'Omar Sharif', 'Alec Guinness', 'Jack Hawkins']",75.50999999999998,David Lean,"['Sam Spiegel', 'Robert A. Harris']","['Michael Wilson', 'Robert Bolt']",35.10600000000004,15000000,69995385,227,8.0,1994
70,1162,tt0056241,1962,1963,The Miracle Worker,Best Director,Arthur Penn,5,False,[18],"['Anne Bancroft', 'Patty Duke', 'Victor Jory', 'Inga Swenson']",20.889000000000003,Arthur Penn,['Fred Coe'],['William Gibson'],25.793000000000013,500000,2500000,106,7.8,176
71,595,tt0056592,1962,1963,To Kill a Mockingbird,Best Director,Robert Mulligan,8,False,"[18, 80]","['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy']",82.25199999999998,Robert Mulligan,"['Alan J. Pakula', 'Robert Mulligan', 'Harper Lee', 'Gregory Peck']",['Horton Foote'],34.04900000000002,2000000,13129846,129,8.0,1809
72,947,tt0056172,1962,1963,Lawrence of Arabia,Best Picture,"Sam Spiegel, Producer",10,True,"[10752, 36, 12, 18]","[""Peter O'Toole"", 'Omar Sharif', 'Alec Guinness', 'Jack Hawkins']",75.50999999999998,David Lean,"['Sam Spiegel', 'Robert A. Harris']","['Michael Wilson', 'Robert Bolt']",35.10600000000004,15000000,69995385,227,8.0,1994
73,9289,tt0056197,1962,1963,The Longest Day,Best Picture,"Darryl F. Zanuck, Producer",5,False,"[18, 36, 10752]","['John Wayne', 'Henry Fonda', 'Robert Mitchum', 'Richard Burton']",183.02799999999988,Andrew Marton,['Darryl F. Zanuck'],['Cornelius Ryan'],39.01800000000004,10000000,50100000,178,7.6,628
